Time,Area 1,Area 2,Area 3,Area 4,Area 5,Area 6,Area 7,Area 8,Area 9,Area 10,Area 11,Area 12,Area 13,Area 14,Area 15,Area 16
0.00,791,1477,1035,1268,593,1532,670,549,1204,648,593,549,791,1268,1204,1035
20.00,741,1563,1291,1164,859,624,966,1522,1528,1300,859,1522,741,1164,1528,1291
40.00,678,1365,1326,1115,826,660,1473,1438,967,1200,826,1438,678,1115,967,1326
60.00,749,1012,673,666,1590,670,667,881,969,796,1590,881,749,666,969,673
80.00,808,962,760,533,1014,1034,1360,527,907,836,1014,527,808,533,907,760
100.00,857,1074,1085,1048,1455,1178,1361,1162,1124,598,1455,1162,857,1048,1124,1085
120.00,902,1350,1297,1301,727,1477,792,1556,1088,1470,727,1556,902,1301,1088,1297
140.00,1200,1268,530,1317,1239,1098,1514,1480,1219,860,1239,1480,1200,1317,1219,530
160.00,1407,703,1576,1106,810,510,696,1103,1186,1057,810,1103,1407,1106,1186,1576
180.00,1347,868,1179,1277,1411,1458,1013,1440,546,797,1411,1440,1347,1277,546,1179
